id	gdp_2008	gdp_pps_2008	pop_t_2008
DEC05	4725000	4535000	151,859
DEC06	1957000	1879000	92,763
DED11	6856000	6582000	244,951
DED12	1625000	1560000	67,613
DED13	2973000	2854000	95,841
DED14	1433000	1375000	81,438
DED15	3031000	2909000	131,431
DED16	3543000	3401000	141,622
DED17	3375000	3240000	186,059
DED18	1324000	1271000	86,667
DED19	2562000	2459000	127,96
DED1A	1519000	1458000	87,237
DED1B	2204000	2115000	127,229
DED1C	1880000	1804000	125,675
DED21	15289000	14676000	507,513
DED22	1176000	1129000	56,724
DED23	664000	638000	40,294
DED24	3027000	2906000	146,197
DED25	3139000	3013000	148,268
DED26	1844000	1770000	93,239
DED27	2500000	2400000	111,075
DED28	2346000	2252000	138,772
DED29	2248000	2158000	137,01
DED2A	2136000	2050000	120,645
DED2B	2892000	2776000	146,979
DED31	13721000	13172000	510,512
DED32	2526000	2425000	120,775
DED33	1573000	1510000	70,533
DED34	2740000	2630000	145,366
DED35	2412000	2316000	129,166
DED36	1811000	1738000	93,409
DEE01	2176000	2089000	89,934
DEE02	5447000	5229000	234,295
DEE03	6538000	6277000	230,14
DEE04	1969000	1890000	93,323
DEE05	4252000	4082000	184,877
DEE06	2046000	1964000	99,693
DEE07	4306000	4134000	185,457
DEE08	4108000	3944000	201,932
DEE09	4886000	4690000	241,017
DEE0A	2561000	2459000	158,223
DEE0B	5393000	5177000	203,989
DEE0C	4419000	4242000	219,222
DEE0D	2536000	2434000	127,464
DEE0E	2770000	2659000	142,906
DEF01	3132000	3007000	87,792
DEF02	8970000	8611000	236,902
DEF03	6233000	5983000	211,541
DEF04	2397000	2301000	77,595
DEF05	3024000	2902000	136,451
DEF06	3672000	3525000	187,094
DEF07	4602000	4417000	166,727
DEF08	4119000	3954000	205,688
DEF09	8542000	8200000	301,32
DEF0A	2174000	2087000	135,422
DEF0B	6054000	5812000	272,488
DEF0C	3782000	3630000	199,101
DEF0D	6487000	6227000	258,336
DEF0E	3554000	3411000	134,664
DEF0F	6768000	6497000	226,252
DEG01	6301000	6048000	202,929
DEG02	2336000	2243000	101,618
DEG03	3492000	3352000	102,752
