code;nom;M;Access;IndShimble
TS3212;El Ksar;35203;169,181870229008;224,253958599592
TS3219;Belkhir;14242;171,494198473282;221,230248369295
TS117B;Menzel Djemil;43618;171,850687022901;220,771326431075
TS214D;Skhira;30705;172,341259541985;220,142896848765
TS117D;Ras Djebel;55790;172,944923664122;219,374488237772
TS3216;Metlaoui;37894;174,889122137405;216,935757115468
TS1172;Bizerte Sud;46978;174,910992366412;216,908632264
TS3222;Tameghza;6947;175,271488549618;216,462497329661
TS1171;Zarzouna;28195;175,70034351145;215,934148812093
TS3218;EL Guetar;18658;176,990916030534;214,359612193838
TS3217;Mdhila;13802;181,390648854962;209,160198508764
TS1170;Bizerte Nord;77940;181,687328244275;208,818658344341
TS3115;Menzel El Habib;11215;186,229083969466;203,725987979182
TS3221;Degach;27401;194,430496183206;195,132475958853
TS3114;El Metouia;27032;195,824007633588;193,743885546084
TS3232;Souk El Ahed;26320;203,61106870229;186,33419275261
TS3113;Ghanouch;24609;204,593816793893;185,43915313119
TS3220;Tozeur;42560;205,539541984733;184,585913521961
TS3110;Gabes Medina;47426;208,771106870229;181,72871088776
TS3116;El Hamma;63814;209,456908396947;181,133696723132
TS3223;Nefta;21375;210,731106870229;180,038460793077
TS3125;Djerba Houmet Souk;70301;212,540076335878;178,506118828061
TS3111;Gabes Ouest;31561;212,999083969466;178,121442661116
TS3112;Gabes Sud;70553;216,587977099237;175,16994539708
TS3224;Hazoua;4624;218,067442748092;173,981515278119
TS3126;Djerba Midoun;55067;219,168816793893;173,107217884084
TS3127;Djerba Ajim;24775;219,670992366412;172,711488728807
TS3231;Kebili Nord;30300;221,04679389313;171,636527514985
TS3118;Nouvelle Matmata;15211;232,353511450382;163,284401794975
TS3230;Kebili Sud;29057;233,333282442748;162,598767415216
TS3119;Mareth;63108;236,954961832061;160,11356685169
TS3128;Sidi Makhloulf;22612;239,339732824427;158,518202031958
TS3124;Zarzis;77323;247,556908396947;153,256495113854
TS3117;Matmata;5220;249,956526717557;151,785210893925
