id;nom;idr;dist
TS214C;Bir ali Ben Kelifa;0,186;41224,4084333113
TS2148;El Amra;0,3;5477,10590801978
TS214B;Ghraiba;0,176;13656,7715878254
TS2149;El Hencha;0,253;25974,7921301859
TS2147;Djebeniana;0,3;10796,4447204319
TS214F;Kerkenah;0,379;866,126038524925
TS214E;Mahres;0,347;5042,63391385691
TS214A;Menzel Chaker;0,332;46000,1292736341
TS2143;Sakiet Eddaer;0,465;6102,97578311419
TS2142;Sakiet Ezzit;0,478;14979,444330124
TS2140;Sfax Ville;0,555;2708,03876750344
TS2141;Sfax Ouest;0,572;3048,26650479689
TS2144;Sfax Sud;0,449;13383,1047462039
TS214D;Skhira;0,246;13204,499862748
TS2234;Bir El Hafey;0,165;103276,781320348
TS2232;Jilma;0,123;124557,384081793
TS2239;Mezzouna;0,16;37319,0709620677
TS2237;Meknassy;0,163;58870,233724675
